Municipality,Latitude,Longitude
Acharnes,38.083333333333336,23.733333333333334
Agia Paraskevi,38.01166666666666,23.82
Agia Varvara,38.0,23.65
Agioi Anargyroi-Kamatero,38.03333333333333,23.716666666666665
Agios Dimitrios,37.93333333333333,23.733333333333334
Aigaleo,37.9885,23.6735
Alimos,37.916666666666664,23.716666666666665
Aspropyrgos,38.06666666666667,23.583333333333332
Athina,37.983972,23.727806
Chalandri,38.016666666666666,23.8
Dafni-Ymittos,37.95,23.716666666666665
"Dionysos, Greece",38.1,23.866666666666667
Eleusis,38.03333333333333,23.533333333333335
Elliniko-Argyroupoli,37.9,23.75
Filadelfeia-Chalkidona,38.03333333333333,23.7
Filothei-Psychiko,38.016666666666666,23.766666666666666
Fyli,38.1,23.666666666666668
Galatsi,38.016666666666666,23.75
Glyfada,37.86666666666667,23.75
Haidari,38.016666666666666,23.65
"Ilion, Greece",38.03333333333333,23.7
Ilioupoli,37.93333333333333,23.75
"Irakleio, Attica",38.05,23.766666666666666
Kaisariani,37.968333333333334,23.758333333333333
Kallithea,37.95,23.7
Keratsini-Drapetsona,37.96666666666667,23.616666666666667
Kifissia,38.083333333333336,23.816666666666666
Korydallos,37.983333333333334,23.65
Kropia,37.9,23.866666666666667
Lavreotiki,37.71666666666667,24.066666666666666
Lykovrysi-Pefki,38.06666666666667,23.8
Mandra-Eidyllia,38.06666666666667,23.483333333333334
Markopoulo Mesogaias,37.88333333333333,23.933333333333334
Marousi,38.05,23.8
Megara,37.991166666666665,23.34
Metamorfosi,38.05,23.75
Moschato-Tavros,37.9,23.75
Nea Ionia,38.03333333333333,23.75
Nea Smyrni,37.95,23.716666666666665
Nikaia-Agios Ioannis Rentis,37.96666666666667,23.633333333333333
Oropos,38.3,23.75
Paiania,37.95,23.85
Palaio Faliro,37.93333333333333,23.7
Pallini,38.0,23.883333333333333
Papagou-Cholargos,38.016666666666666,23.766666666666666
"Penteli, Greece",38.0515,23.86766666666667
Perama,37.96666666666667,23.566666666666666
Peristeri,38.016666666666666,23.683333333333334
Petroupoli,38.03333333333333,23.683333333333334
Piraeus,37.939,23.6415
Rafina-Pikermi,38.016666666666666,24.0
"Saronikos, Attica",37.833333333333336,23.916666666666668
Spata-Artemida,37.96666666666667,23.916666666666668
Vari-Voula-Vouliagmeni,37.85,23.75
Vrilissia,38.03333333333333,23.833333333333332
Vyronas,37.961666666666666,23.753333333333334
Zografou,37.97833333333333,23.77166666666667
