Area,Q1 2020 (€/sqm),Q1 2019 (€/sqm),Change %
Greece - countrywide,7.37,6.73,9.50
Athens - Center,9.44,9.91,-4.70
Athens - North,8.39,8.00,4.90
Athens - South,10.59,10.71,-1.10
Athens - West,6.22,5.71,8.90
Athens - East,6.25,5.83,7.20
Piraeus,7.60,7.06,7.60
Piraeus suburbs,6.02,5.78,4.20
Rest of Attica,6.47,6.14,5.40
Thessaloniki - Municipality,7.64,7.02,8.80
Thessaloniki - Suburbs,5.26,4.78,10.00
Thessaloniki - Rest of Prefecture,3.83,2.86,33.90
Aetolia & Acarnania,4.86,4.17,16.50
Argolis,5.33,5.00,6.60
Arcadia,4.49,4.44,1.10
Achaia,5.10,5.11,-0.20
Dodecanese,7.33,6.97,5.20
Evros,5.56,5.56,0.00
Evia,5.00,4.67,7.10
Zante,5.71,5.56,2.70
Ilia,5.00,3.81,31.20
Imathia,3.41,3.33,2.40
Heraklion Prefecture,7.07,6.67,6.00
Ioannina Prefecture,6.25,5.80,7.80
Kavala Prefecture,5.20,4.71,10.40
Karditsa Prefecture,4.95,4.55,8.80
Kastoria Prefecture,4.03,4.05,-0.50
Corfu Prefecture,7.14,6.17,15.70
Kilkis Prefecture,2.75,2.64,4.20
Kozani Prefecture,5.23,5.00,4.60
Corinthia,5.00,4.44,12.60
Cyclades,28.17,21.68,29.90
Lakonia,4.80,3.75,28.00
Larissa Prefecture,6.14,4.86,26.30
Lasithi Prefecture,5.56,5.00,11.20
Lesvos Prefecture,4.96,5.00,-0.80
Magnesia,5.17,4.88,5.90
Messinia,5.71,5.00,14.20
Xanthi Prefecture,5.14,5.11,0.60
Pella,3.69,2.94,25.50
Pieria Prefecture,4.00,3.75,6.70
Preveza Prefecture,4.76,na,na
Rethymno Prefecture,7.18,7.33,-2.00
Rodopi Prefecture,5.60,5.43,3.10
Samos Prefecture,5.19,4.44,16.90
Serres Prefecture,3.92,3.56,10.10
Trikala Prefecture,4.71,na,na
Phthiotis,4.25,4.29,-0.90
Florina Prefecture,4.01,4.29,-6.50
Chalkidiki,31.43,30.67,2.50
Chania Prefecture,6.12,6.00,2.00
Chios Prefecture,5.31,4.97,6.80
Argosaronikos islands,5.56,5.82,-4.50
